Alert ID,Alert Name,Release Date,Last revised,Alert Link
AA22-158A , People’s Republic of China State-Sponsored Cyber Actors Exploit Network Providers and Devices,"June 07, 2022  ","June 08, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-158a
AA22-152A , Karakurt Data Extortion Group ,"June 01, 2022  ","June 02, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-152a
AA22-138B , Threat Actors Chaining Unpatched VMware Vulnerabilities for Full System Control ,"May 18, 2022  ","June 02, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
AA22-138A , Threat Actors Exploiting F5 BIG-IP CVE-2022-1388,"May 18, 2022",None,https://www.cisa.gov/uscert/ncas/alerts/aa22-138a
AA22-137A , Weak Security Controls and Practices Routinely Exploited for Initial Access,"May 17, 2022",None,https://www.cisa.gov/uscert/ncas/alerts/aa22-137a
AA22-131A , Protecting Against Cyber Threats to Managed Service Providers and their Customers,"May 11, 2022",None,https://www.cisa.gov/uscert/ncas/alerts/aa22-131a
AA22-117A , 2021 Top Routinely Exploited Vulnerabilities,"April 27, 2022  ","April 28, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-117a
AA22-110A , Russian State-Sponsored and Criminal Cyber Threats to Critical Infrastructure,"April 20, 2022  ","May 09, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-110a
AA22-108A , TraderTraitor: North Korean State-Sponsored APT Targets Blockchain Companies ,"April 18, 2022  ","April 20, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-108a
AA22-103A , APT Cyber Tools Targeting ICS/SCADA Devices,"April 13, 2022  ","May 25, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
AA22-083A ," Tactics, Techniques, and Procedures of Indicted State-Sponsored Russian Cyber Actors Targeting the Energy Sector","March 24, 2022",None,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
AA22-076A , Strengthening Cybersecurity of SATCOM Network Providers and Customers,"March 17, 2022  ","May 10, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-076a
AA22-074A , Russian State-Sponsored Cyber Actors Gain Network Access by Exploiting Default Multifactor Authentication Protocols and “PrintNightmare” Vulnerability,"March 15, 2022  ","May 02, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-074a
AA22-057A , Update: Destructive Malware Targeting Organizations in Ukraine,"February 26, 2022  ","April 28, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-057a
AA22-055A  , Iranian Government-Sponsored Actors Conduct Cyber Operations Against Global Government and Commercial Networks,"February 24, 2022",None,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
AA22-054A , New Sandworm Malware Cyclops Blink Replaces VPNFilter,"February 23, 2022",None,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
AA22-047A , Russian State-Sponsored Cyber Actors Target Cleared Defense Contractor Networks to Obtain Sensitive U.S. Defense Information and Technology,"February 16, 2022",None,https://www.cisa.gov/uscert/ncas/alerts/aa22-047a
AA22-040A , 2021 Trends Show Increased Globalized Threat of Ransomware,"February 09, 2022  ","February 10, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-040a
AA22-011A , Understanding and Mitigating Russian State-Sponsored Cyber Threats to U.S. Critical Infrastructure  ,"January 11, 2022  ","March 01, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-011a
